Update Id,Revision Number,Title,KB Articles,Security Bulletin,Has Superseded Updates,Creation Date,Declined Reason
cd20d2a2-6f3a-4925-86a6-c2c85031cbcc,200,"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.335.125.0)",2267602,,True,04/03/2021 13:34:39,Superseded
47739021-e173-4546-a13e-d278ff614553,200,"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.335.133.0)",2267602,,True,04/03/2021 15:44:49,Superseded
0cc2199f-fa14-4ee6-b645-27be8955eda7,200,"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.335.140.0)",2267602,,True,04/03/2021 17:55:06,Superseded
