Update Id,Revision Number,Title,KB Articles,Security Bulletin,Has Superseded Updates,Creation Date,Declined Reason
14665260-88e5-4aa0-b944-de209ab3dbb2,201,"Feature update to Windows 10 (consumer editions), version 1909, en-gb x86",3012973,,True,11/09/2020 18:00:00,Windows 10 Edition
a2713021-8b56-4154-9d8f-c131f7870318,201,"Feature update to Windows 10 (business editions), version 2004, en-gb x86",3012973,,True,11/09/2020 18:00:05,Windows 10 Edition
f46f55f8-cac4-4bb1-aff4-a721e78568cb,203,"The new Microsoft Edge for Windows 10 Version 1909 for x86-based Systems (KB4584642)",4584642,,False,10/29/2020 17:00:06,Windows 10 Version: 1909
00590567-2333-4d48-aaf4-e5a00d36975b,201,"Feature update to Windows 10 (consumer editions), version 20H2, en-gb x86",3012973,,True,11/09/2020 18:00:00,Superseded
389bb816-cb13-4fa4-bdc9-20dbcc2b7226,201,"Feature update to Windows 10 (consumer editions), version 1909, en-gb x64",3012973,,True,11/09/2020 18:00:00,Windows 10 Edition
6e26bd56-0744-4e0d-96c9-0e827af03b5f,200,"Feature update to Windows 10 (business editions), version 20H2, en-us arm64",3012973,,True,11/09/2020 18:00:00,Superseded
00b118a4-9017-41f4-ba05-917281cfc2d7,201,"Feature update to Windows 10 (consumer editions), version 20H2, en-us x64",3012973,,True,11/09/2020 18:00:00,Superseded
d5f32cef-85bf-4052-a79f-c5d497476509,201,"Feature update to Windows 10 (consumer editions), version 1909, en-us x64",3012973,,True,11/09/2020 18:00:00,Windows 10 Edition
d6d35b34-003a-4825-b46f-231c6b70158c,203,"Feature Update to Windows 10 Version 20H2 x64-based systems 2020-10 via Enablement Package",4562830,,False,10/20/2020 17:00:00,Superseded
f37f7054-7f16-4a28-8842-64dabfb1f46e,200,"Feature update to Windows 10 (consumer editions), version 20H2, en-gb x64",3012973,,True,11/09/2020 18:00:00,Superseded
99d90154-c08d-4790-852a-1715116179cb,201,"Feature update to Windows 10 (consumer editions), version 1909, en-us x86",3012973,,True,11/09/2020 18:00:00,Windows 10 Edition
acaa763e-5c9c-4f86-bea9-963f9c3167b4,201,"Feature update to Windows 10 (business editions), version 2004, en-us arm64",3012973,,True,11/09/2020 18:00:05,Windows 10 Edition
ab2be225-ed2e-4a76-9d3e-ee9ee6094efe,200,"Feature update to Windows 10 (business editions), version 20H2, en-gb arm64",3012973,,True,11/09/2020 18:00:00,Superseded
0bbd57bc-d42d-47d4-8101-708210d780d7,200,"Feature update to Windows 10 (business editions), version 20H2, en-gb x86",3012973,,True,11/09/2020 18:00:00,Superseded
b6d71b7d-417a-4c08-bc9a-1180b73727d8,201,"Feature update to Windows 10 (business editions), version 2004, en-us x86",3012973,,True,11/09/2020 18:00:05,Windows 10 Edition
389c417c-f30b-4503-a0f7-91a83e50fb13,203,"The new Microsoft Edge for Windows 10 Version 1903 for x86-based Systems (KB4584642)",4584642,,False,10/29/2020 17:00:06,Windows 10 Version: 1903
d2d7d2bf-a717-4e50-8774-2a113f81cb8c,200,"Feature update to Windows 10 (business editions), version 20H2, en-us x86",3012973,,True,11/09/2020 18:00:00,Superseded
