Update Id,Revision Number,Title,KB Articles,Security Bulletin,Has Superseded Updates,Creation Date,Declined Reason
830597be-c102-4175-9b97-debcaea2f683,100,"Security Update for Windows 7 Beta for x64-based Systems (KB958690)",958690,MS09-006,False,03/10/2009 17:00:00,ByTitle: *Beta*
fd4edc28-9cdd-4f8f-a5ec-b806b1d7dd7d,100,"Security Update for Windows 7 Beta (KB958690)",958690,MS09-006,False,03/10/2009 17:00:00,ByTitle: *Beta*
8412426c-6bb2-4d5b-af8e-df6744a0ea70,203,"Update for Windows 10 Version 1511 for x64-based Systems (KB3152599)",3152599,,False,05/11/2016 17:00:00,Windows 10 Version: 1511
488f5069-60cf-4fa9-b97b-c3cb378ade49,203,"Update for Windows 10 Version 1511 (KB3152599)",3152599,,False,05/11/2016 17:00:00,Windows 10 Version: 1511
efd2cb7d-08b1-424e-a3fb-340651b93494,200,"Upgrade to Windows 10 Pro, version 1511, 10586 - ja-jp, Retail",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: ja
e85023af-23ee-40fa-a855-44239766e118,200,"Upgrade to Windows 10 Pro N, version 1511, 10586 - it-it, Retail",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: it
c280a607-d8ad-490c-bd9e-3ecda53293b8,202,"Upgrade to Windows 10 Education N, version 1511, 10586 - lt-lt, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: lt
d096a4ce-6d0f-47db-8b5e-277570268c16,200,"Upgrade to Windows 10 Education, version 1511, 10586 - en-gb, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Version: 1511
dbcc7152-9928-420a-b26c-a0cbac013034,201,"Upgrade to Windows 10 Enterprise N, version 1511, 10586 - lt-lt, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: lt
f209ff9a-e532-4dd7-ab2f-9c56fdfb4544,200,"Upgrade to Windows 10 Enterprise, version 1511, 10586 - nb-no, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: no
e97d3aa4-84ec-45d5-a9a9-c9f1a5ee9c3a,200,"Upgrade to Windows 10 Pro, version 1511, 10586 - zh-cn, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: zh-cn
c0f37c11-3996-4ed6-8906-bdc12ec7463c,200,"Upgrade to Windows 10 Education, version 1511, 10586 - uk-ua, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: uk
b1e97a57-968c-403b-af30-cf18179df49b,200,"Upgrade to Windows 10 Pro, version 1511, 10586 - sl-si, Retail",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: sl
b3a2f2be-dacd-4976-93ec-6b6434740a1e,200,"Upgrade to Windows 10 Education, version 1511, 10586 - sv-se, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: sv
a37cead6-2581-4447-bd9b-6b4d31ae3e4e,200,"Upgrade to Windows 10 Enterprise, version 1511, 10586 - pt-br, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: pt-br
93428a80-f4bb-47b2-be40-848c09a8a99e,200,"Upgrade to Windows 10 Pro, version 1511, 10586 - it-it, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: it
fe1d6d03-2b25-43ee-a918-720bb15929b7,202,"Upgrade to Windows 10 Education, version 1511, 10586 - pt-pt, Volume",3012973,,False,05/24/2016 17:00:00,Windows 10 Language: pt
